Which of the following types of ticketed experience have you *attended in the past 5 years*?,"And overall, *how often do you go* to these types of activities?",Who do you typically *spend your free time with*?,And would you mind telling us *your age*?,"This experience is *inspired by TV game shows and escape rooms*.

It* *combines *thrills* with physical and mental *challenges*.

You go to a *purpose-built venue* with *2 to 15 other people*, 
and you all play *a series of minigames*. 

Right off the bat, does this *sound like something you would do*?",Did that description *make you think of any* of the following themes?,Did that description *make you think of any* of the following themes?,"*Welcome to Prison Island.*

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame*.

To what extent *would you like to go *to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

How do you think it compares *versus Prison Island*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go *to this?","*Welcome to Prison Island*.

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame.*

How do you think it compares *versus* *BRKThrough*?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*,

and whoever loses gets covered in paint!

To what extent *would you like to go* to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame.*

How do you think it compares *versus Glow or Go*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go* to this?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*, 

and whoever loses gets covered in paint!

How do you think it compares *versus BRKThrough*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?",And which one do you think *most people would prefer*?,And which one do you think *most people would prefer*?,Who would you expect to *have a better time at Prison Island*?,And how much would you expect *one ticket* *for* *Prison Island to cost*?,Who would you expect to *have a better time at BRKThrough*?,And how much would you expect *one ticket* *for* *BRKThrough to cost*?,Who would you expect to *have a better time at Glow or Go*?,And how much would you expect *one ticket* *for* *Glow or Go to cost*?,"*Alright that's all! *No more questions from our side.

Your* $15 gift code is on the next page*.

Make sure to *hit the button to record your answers *and complete the survey.

If you'd like to *share any closing thoughts*, type them here!",idu,c,ct,g,v,j,Submitted At,Token
*Immersive Experiences*,*Once or twice a month*,*Partner*,*35-44*,Actually I *really enjoy these*,"*Videogame*, *Heist*",,5,4,,,,,,,,,,,*Prison Island*,,"*Mature groups of friends*, *Families (only adults)*, *Work groups / Teambuilding*",45,,,,,,29936092,16,236,a,n,l,6/6/2026 16:15:22,b1g0krmt1iu9yu9gdb1g0r266u0vp15c
"*Immersive Experiences*, *Music Concerts*",*Once or twice a year*,,*35-44*,I've *done this myself *in the past,"*Jail*, *Heist*, *Space*, *Fairground*",,,,,,4,5,,,,,,*BRKThrough *is* much better*,,*BRKThrough*,,,"*Families (with kids)*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Young groups of friends*",40,,,,73101690,54,236,c,n,l,6/6/2026 16:15:34,p97pwp10jhvykmd9hrvt0rrp97pwp5ni
*Immersive Experiences*,*Once or twice a month*,*Friends* - from *Work*,*35-44*,*Just found out* but *not for me*,,"*Heist*, *Videogame*",,,,,,,4,1,,,,,,,,,,,,,,54348701,6,236,d,n,j,1/1/0001 0:00:00,j3f1piphumpytj3foaf39derwxzwmkfk
*Music Concerts*,*Once or twice a year*,"*Parent(s)*, *Sibling(s)*, *Friends* - from *Elsewhere*",*25-34*,"I know *people who do* this, *I knew this *and am* interested*",None,,4,,,,,,,,,They're *about the same*,,,*Prison Island*,,"*Young groups of friends*, *Friend gatherings / Birthdays*",40,,,,,,99130736,16,236,a,n,l,6/6/2026 16:15:45,z5h7lwll3dhdfcdjz5h7tufo5y0r5gx0
*Immersive Experiences*,*Once or twice a month*,*Friends* - from *Work*,*35-44*,*Just found out* but *not for me*,,"*Heist*, *Videogame*",,,,,,,4,1,,,They're *about the same*,,,*BRKThrough*,,,"*Young groups of friends*, *Mature groups of friends*",25,,,,54348701,6,236,d,n,j,6/6/2026 16:16:37,j3f1piphumpytj3foaf39derwxzwmkfk
"*Immersive Experiences*, *Music Concerts*, *Comedy Shows*, *Theatre / Performances*, *Movies / Cinema*, *Exhibitions / Museums*",*Every other month*,Usually solo,*35-44*,Actually I *really enjoy these*,"*Videogame*, *Jail*, *Heist*, *Arcade*",,,,,,,,5,,,,,,,,,,,,,,,36695674,54,236,d,v,l,1/1/0001 0:00:00,qo5nxge8ybpatpki59qo5nxge3qfibd5
"*Immersive Experiences*, *Music Concerts*, *Comedy Shows*, *Theatre / Performances*, *Movies / Cinema*, *Exhibitions / Museums*",*Every other month*,Usually solo,*35-44*,Actually I *really enjoy these*,"*Videogame*, *Jail*, *Heist*, *Arcade*",,,,,,,,5,3,,,,,,,,,,,,,,36695674,54,236,d,v,l,1/1/0001 0:00:00,qo5nxge8ybpatpki59qo5nxge3qfibd5
"*Movies / Cinema*, *Immersive Experiences*, *Exhibitions / Museums*, *Theatre / Performances*, *Music Concerts*, *Comedy Shows*",*More than once a week*,"*Friends* - from *Elsewhere*, Other* family*",*Skip question*,*I knew this* but *not for me*,"*Heist*, *Sports*, *Videogame*",,,,1,3,,,,,,They're *about the same*,,,*BRKThrough*,,,,"*Families (with kids)*, *Young groups of friends*",50,,,,64673274,6,236,b,n,l,6/6/2026 16:18:15,ftkdzkzkv37z16hbftkv7wecxkt101s4
"*Comedy Shows*, *Immersive Experiences*, *Music Concerts*, *Talks / Conferences*, *Nightlife / Festivals*, *Theatre / Performances*, *Exhibitions / Museums*",*Every other week*,"*Partner*, *Friends* - from *Elsewhere*, *Friends* - from *Work*",*45-54*,"I know *people who would* *like* this, I know *people who do* this, Don't know,* not sure I get it*",,"*Arcade*, *Heist*, *Videogame*, *Fairground*",2,4,,,,,,,They're *about the same*,,,,*BRKThrough*,,,,"*Young groups of friends*, *Mature groups of friends*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*",45,,,Iris Chen,66063774,16,236,a,n,j,6/6/2026 16:19:38,jaqfaz43wc6aht0psskjaqfamgwbe7jw
"*Immersive Experiences*, *Music Concerts*, *Comedy Shows*, *Theatre / Performances*, *Movies / Cinema*, *Exhibitions / Museums*",*Every other month*,Usually solo,*35-44*,Actually I *really enjoy these*,"*Videogame*, *Jail*, *Heist*, *Arcade*",,,,,,,,5,3,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,"*Young groups of friends*, *Mature groups of friends*, *Tourists*, *Work groups / Teambuilding*, *Families (only adults)*, *Friend gatherings / Birthdays*, *Families (with kids)*, *School trips*",50,,,"I love the idea.  There’s something like this called Play in Vegas that looked so fun when I was there recently.  But as someone who spends a lot of time alone and doesn’t have a lot of people to bring to stuff like this, it’d be nice if there would be a way to be added to a team that isn’t full or have singles event times where you buy a ticket and are put into a group rather than having to come with others to get the full value out of it.",36695674,54,236,d,v,l,6/6/2026 16:20:58,qo5nxge8ybpatpki59qo5nxge3qfibd5
"*Movies / Cinema*, *Comedy Shows*, *Nightlife / Festivals*, *Immersive Experiences*, *Theatre / Performances*, *Talks / Conferences*",*More than once a week*,*Friends* - from *Elsewhere*,*45-54*,"*I knew this *and am* interested*, I know *people who would* *like* this, I know *people who do* this, I've *done this myself *in the past","*Heist*, *Videogame*, *Clocks*",,,,,,2,5,,,,,,,,*BRKThrough*,,,"*Young groups of friends*, *Friend gatherings / Birthdays*",30,,,The “being covered in paint” is the only downside,31599907,6,236,c,n,l,6/6/2026 16:21:13,frkl4kmgy3uowauy9edeojxfrkl4kvzs
